codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
TAB77419,TAB77419,TORNILLO PHILLIPS BUGLE TROMPETA PASO GRUESO BOLSA #8X2-1/2,TORNILLO PHILLIPS BUGLE TROMPETA PASO GRUESO BOLSA NRO 8X2-1/2,Tornillería y fijaciones,0,bolsa,3455.52,4181.18,4181.18,21,0,0,true,FACTURA_21042026_ITEM_40
TAB77529,TAB77529,TORNILLO PHILLIPS BUGLE TROMPETA PASO GRUESO BOLSA #10X3-3/4,TORNILLO PHILLIPS BUGLE TROMPETA PASO GRUESO BOLSA NRO 10X3-3/4,Tornillería y fijaciones,0,bolsa,6278.76,7597.30,7597.30,21,0,0,true,FACTURA_21042026_ITEM_41
TAB85409,TAB85409,TORNILLO PHILLIPS FRESADO ESTRIADO ALAS MECHA BOLSA #8X1-1/4,TORNILLO PHILLIPS FRESADO ESTRIADO ALAS MECHA BOLSA NRO 8X1-1/4,Tornillería y fijaciones,0,bolsa,2419.20,2927.23,2927.23,21,0,0,true,FACTURA_21042026_ITEM_42
TAS0630CTF,TAS0630CTF,TACO S CON TOPE #6X30MM BOLSA,TACO S CON TOPE NRO 6X30MM BOLSA,Tornillería y fijaciones,0,bolsa,1262.92,1528.13,1528.13,21,0,0,true,FACTURA_21042026_ITEM_43
TAS0630F,TAS0630F,TACO S #6X30MM BOLSA,TACO S NRO 6X30MM BOLSA,Tornillería y fijaciones,0,bolsa,1199.60,1451.52,1451.52,21,0,0,true,FACTURA_21042026_ITEM_44
TAS0840CTF,TAS0840CTF,TACO S CON TOPE #8X40MM BOLSA,TACO S CON TOPE NRO 8X40MM BOLSA,Tornillería y fijaciones,0,bolsa,2079.31,2515.97,2515.97,21,0,0,true,FACTURA_21042026_ITEM_45
TAS0840F,TAS0840F,TACO S #8X40MM BOLSA,TACO S NRO 8X40MM BOLSA,Tornillería y fijaciones,0,bolsa,2100.14,2541.17,2541.17,21,0,0,true,FACTURA_21042026_ITEM_46
TAS1050CTF,TAS1050CTF,TACO S CON TOPE #10X50MM BOLSA,TACO S CON TOPE NRO 10X50MM BOLSA,Tornillería y fijaciones,0,bolsa,2010.17,2432.30,2432.30,21,0,0,true,FACTURA_21042026_ITEM_47
TAS1050F,TAS1050F,TACO S #10X50MM BOLSA,TACO S NRO 10X50MM BOLSA,Tornillería y fijaciones,0,bolsa,2030.58,2457.00,2457.00,21,0,0,true,FACTURA_21042026_ITEM_48
TASX0630CTF,TASX0630CTF,TACO SX CON TOPE #6X30MM BOLSA,TACO SX CON TOPE NRO 6X30MM BOLSA,Tornillería y fijaciones,0,bolsa,1966.02,2378.88,2378.88,21,0,0,true,FACTURA_21042026_ITEM_49
TASX0840CTF,TASX0840CTF,TACO SX CON TOPE #8X40MM BOLSA,TACO SX CON TOPE NRO 8X40MM BOLSA,Tornillería y fijaciones,0,bolsa,2884.88,3490.70,3490.70,21,0,0,true,FACTURA_21042026_ITEM_50
TASX1050CTF,TASX1050CTF,TACO SX CON TOPE #10X50MM BOLSA,TACO SX CON TOPE NRO 10X50MM BOLSA,Tornillería y fijaciones,0,bolsa,2877.38,3481.63,3481.63,21,0,0,true,FACTURA_21042026_ITEM_51
