codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
44078,44078,PEIRANO LAVATORIO C.CERAM CR MALLORCA,PEIRANO LAVATORIO C CERAM CR MALLORCA,Sanitarios y baño,,unidad,,,,,,,true,8798
44279,44279,PEIRANO COCINA MESADA MONOC. P. CUADRADO MARBELLA,PEIRANO COCINA MESADA MONOC P CUADRADO MARBELLA,Gas,,unidad,,,,,,,true,8808
44133,44133,PEIRANO DUCHA EMB. CONTRANSF. MONOC. VERA,PEIRANO DUCHA EMB CONTRANSF MONOC VERA,Grifería,,unidad,,,,,,,true,8817
44137,44137,PEIRANO LAVATORIO MONOC. ALTO MORA,PEIRANO LAVATORIO MONOC ALTO MORA,Sanitarios y baño,,unidad,,,,,,,true,8819
44285,44285,PEIRANO MONOC. DUO COCINA CROMO °RENACER°,PEIRANO MONOC DUO COCINA CROMO RENACER,Gas,,unidad,,,,,,,true,8822
18317,18317,BACHA DE APOYO REDONDA S/ANILLO 300MM L460,BACHA DE APOYO REDONDA S/ANILLO 300MM L460,Cocina y bachas,,unidad,,,,,,,true,8843
46701,46701,PANEL DUCHA AQUASHOWER CURVE NEGRO C/DISPLAY,PANEL DUCHA AQUASHOWER CURVE NEGRO C/DISPLAY,Grifería,,unidad,,,,,,,true,8942
17566,17566,ASIENTO PARA INODORO ANDINA PARAVOR CROMO,ASIENTO PARA INODORO ANDINA PARAVOR CROMO,Sanitarios y baño,,unidad,,,,,,,true,9007
17568,17568,BACHA APOYO CIRCULAR 1 AGUJERO CONDESBORDE 400X155MM AMB011,BACHA APOYO CIRCULAR 1 AGUJERO CONDESBORDE 400X155MM AMB011,Cocina y bachas,,unidad,,,,,,,true,9009
17641,17641,VANITORY COLGAR WENGUE LAQUEADO 50CM,VANITORY COLGAR WENGUE LAQUEADO 50CM,Ferretería general,,unidad,,,,,,,true,9014
17642,17642,LAVATORIO DE 50CM PARA VANITORY 1 AG 1/0195-02,LAVATORIO DE 50CM PARA VANITORY 1 AG 1/0195 02,Sanitarios y baño,,unidad,,,,,,,true,9015
17880,17880,ASIENTO PARA INODORO JADE PARAVOR CROMO,ASIENTO PARA INODORO JADE PARAVOR CROMO,Sanitarios y baño,,unidad,,,,,,,true,9029
17881,17881,ASIENTO PARA INODORO DAMA PARAVOR CROMO,ASIENTO PARA INODORO DAMA PARAVOR CROMO,Sanitarios y baño,,unidad,,,,,,,true,9030
24490,24490,MAMPARA REBATIBLE TRANSPARENTE 800X1400X6,MAMPARA REBATIBLE TRANSPARENTE 800X1400X6,Ferretería general,,unidad,,,,,,,true,9044
26958,26958,BACHA APOYO SUPERFINA CILINDRICA CHICA 355X120,BACHA APOYO SUPERFINA CILINDRICA CHICA 355X120,Cocina y bachas,,unidad,,,,,,,true,9048
33619,33619,ASIENTO UREA PARA MODELO HALL 05 BLANCO CIERRE SUAVE DESMONTABL,ASIENTO UREA PARA MODELO HALL 05 BLANCO CIERRE SUAVE DESMONTABL,Sanitarios y baño,,unidad,,,,,,,true,9083
36649,36649,VANITORY WENGUE MARRON DOS PUERTAS 75CM,VANITORY WENGUE MARRON DOS PUERTAS 75CM,Ferretería general,,unidad,,,,,,,true,9085
38229,38229,JADE MAX BIDET 1 AG MONOCOMANDO / ALTO PARA DISCAPACITADOS,JADE MAX BIDET 1 AG MONOCOMANDO / ALTO PARA DISCAPACITADOS,Sanitarios y baño,,unidad,,,,,,,true,9087
38065,38065,ALAMBRES NEGRO 14 X 5 kg,ALAMBRES NEGRO 14 X 5 KG,Ferretería general,,kg,,,,,,,true,9135
38467,38467,"ARANDELA PLANA 1/4"" METALICA",ARANDELA PLANA 1/4 METALICA,Ferretería general,,unidad,,,,,,,true,9151
38478,38478,ARANDELA PLANA 5/16 METALICA,ARANDELA PLANA 5/16 METALICA,Ferretería general,,unidad,,,,,,,true,9155
13773,13773,CERAMICO CIMENT GRIS 30X45 PRIMERA,CERAMICO CIMENT GRIS 30X45 PRIMERA,Ferretería general,,unidad,,,,,,,true,9178
35982,35982,CERAMICO BASALTO GRIS 30X45 PRIMERA,CERAMICO BASALTO GRIS 30X45 PRIMERA,Ferretería general,,unidad,,,,,,,true,9179
39021,39021,CERAMICO PORTLAND SAND 50X50 PRIMERA,CERAMICO PORTLAND SAND 50X50 PRIMERA,Ferretería general,,unidad,,,,,,,true,9191
36745,36745,PORCELANATO AVINON SMOKE 16X100CM,PORCELANATO AVINON SMOKE 16X100CM,Ferretería general,,unidad,,,,,,,true,9204
44545,44545,PORCELANATO MOMA MARFIL RECTIF NAT MICROB 58X117,PORCELANATO MOMA MARFIL RECTIF NAT MICROB 58X117,Ferretería general,,unidad,,,,,,,true,9205
47777,47777,"PLACAS DE YESO EXSOUND CIRCULAR 1,20M x 2,40M",PLACAS DE YESO EXSOUND CIRCULAR 1 20M X 2 40M,Construcción,,unidad,,,,,,,true,9221
46147,46147,MASILLA PARA DURLOCK DE -10 LPU BALDE X 32 kg PARA PLACA DE YESO DURLOCK,MASILLA PARA DURLOCK DE 10 LPU BALDE X 32 KG PARA PLACA DE YESO DURLOCK,Construcción,Durlock,kg,,,,,,,true,9227
36483,36483,"PLACA DE CEMENTO SIMPLISIMA LADRILLO TERRACOTA 1,20MTS X 2.40MTS",PLACA DE CEMENTO SIMPLISIMA LADRILLO TERRACOTA 1 20MTS X 2 40MTS,Construcción,,metro,,,,,,,true,9239
47779,47779,"GUARDACANTO ESCALERA 10,5x20mmx 2,5M CROMO MATE",GUARDACANTO ESCALERA 10 5X20MMX 2 5M CROMO MATE,Construcción,,unidad,,,,,,,true,9259
47778,47778,DESAGUE LINEAL ACQUA NEGRO MATE 2en1 60CM,DESAGUE LINEAL ACQUA NEGRO MATE 2EN1 60CM,Plomería agua,,unidad,,,,,,,true,9274
