codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
CR237,CR237,GRINFA DE ACERO FORJADO 12 MM,GRINFA DE ACERO FORJADO 12 MM,Herramientas manuales,0,unidad,10363.23,12539.51,12539.51,21.0,0,0,true,MACHENA_084795_ITEM_38
ECAB,ECAB,ENGRAMPADORA MANUAL BULIT - CAB,ENGRAMPADORA MANUAL BULIT - CAB,Herramientas manuales,Bulit,unidad,27253.52,32976.76,32976.76,21.0,0,0,true,MACHENA_084795_ITEM_39
CR44,CR44,"SERRUCHO CARPINTERO CABO PLASTICO 22"" 55CM CR",SERRUCHO CARPINTERO CABO PLASTICO 22 PULGADA 55CM CR,Herramientas manuales,0,unidad,13430.68,16251.12,16251.12,21.0,0,0,true,MACHENA_084795_ITEM_40
ALL5246,ALL5246,"SERRUCHO DE PODA 12"" CABO MADERA BREMEN - 5246",SERRUCHO DE PODA 12 PULGADA CABO MADERA BREMEN - 5246,Jardinería,Bremen,unidad,31404.69,37999.67,37999.67,21.0,0,0,true,MACHENA_084795_ITEM_41
SC13200,SC13200,LLANA DENTADA EL SIMBOLO 8 X 8,LLANA DENTADA EL SIMBOLO 8 X 8,Albañilería,Simbolo,unidad,6689.63,8094.45,8094.45,21.0,0,0,true,MACHENA_084795_ITEM_42
SC13100,SC13100,LLANA DENTADA EL SIMBOLO 6 X 6,LLANA DENTADA EL SIMBOLO 6 X 6,Albañilería,Simbolo,unidad,6689.63,8094.45,8094.45,21.0,0,0,true,MACHENA_084795_ITEM_43
SC13350,SC13350,LLANA DENTADA EL SIMBOLO 10 X 10,LLANA DENTADA EL SIMBOLO 10 X 10,Albañilería,Simbolo,unidad,6689.63,8094.45,8094.45,21.0,0,0,true,MACHENA_084795_ITEM_44
FLL01,FLL01,LLANA LISA DURA 30 CM SIMBOLO / ROBLE,LLANA LISA DURA 30 CM SIMBOLO / ROBLE,Albañilería,Simbolo,unidad,6689.63,8094.45,8094.45,21.0,0,0,true,MACHENA_084795_ITEM_45
ALL7131,ALL7131,"JGO PUNTAS MONTADAS 10 PZ VASTAGO 1/8"" Y 1/4"" BREMEN - 7131",JGO PUNTAS MONTADAS 10 PZ VASTAGO 1/8 PULGADA Y 1/4 PULGADA BREMEN - 7131,Herramientas manuales,Bremen,unidad,6722.69,8134.45,8134.45,21.0,0,0,true,MACHENA_084795_ITEM_46
ER04,ER04,ESCALERA DE MADERA TIJERA DOBLE 4 PELDAÑOS 1.06 M RAMPONI,ESCALERA DE MADERA TIJERA DOBLE 4 PELDANOS 1.06 M RAMPONI,Escaleras,Ramponi,unidad,26926.57,32581.15,32581.15,21.0,0,0,true,MACHENA_084795_ITEM_47
ER08,ER08,ESCALERA DE MADERA TIJERA DOBLE 8 PELDAÑOS 2.10 M RAMPONI,ESCALERA DE MADERA TIJERA DOBLE 8 PELDANOS 2.10 M RAMPONI,Escaleras,Ramponi,unidad,60904.61,73694.58,73694.58,21.0,0,0,true,MACHENA_084795_ITEM_48
V999,V999,GUANTE VAQUETA 1/2 PASEO ELASTIZADO TALLE 10 - CANOR CA201,GUANTE VAQUETA 1/2 PASEO ELASTIZADO TALLE 10 - CANOR CA201,Seguridad,Canor,unidad,3303.48,3997.21,3997.21,21.0,0,0,true,MACHENA_084795_ITEM_49
